No.,date,wind_code,sec_name
146,2018/10/21,002013.SZ,中航机电
147,2018/10/21,002019.SZ,亿帆医药
148,2018/10/21,002022.SZ,科华生物
149,2018/10/21,002024.SZ,苏宁易购
150,2018/10/21,002027.SZ,分众传媒
151,2018/10/21,002028.SZ,思源电气
152,2018/10/21,002030.SZ,达安基因
153,2018/10/21,002038.SZ,双鹭药业
154,2018/10/21,002041.SZ,登海种业
155,2018/10/21,002044.SZ,美年健康
156,2018/10/21,002048.SZ,宁波华翔
157,2018/10/21,002049.SZ,紫光国微
158,2018/10/21,002050.SZ,三花智控
159,2018/10/21,002051.SZ,中工国际
160,2018/10/21,002056.SZ,横店东磁
161,2018/10/21,002064.SZ,华峰氨纶
162,2018/10/21,002065.SZ,东华软件
163,2018/10/21,002073.SZ,软控股份
164,2018/10/21,002074.SZ,国轩高科
165,2018/10/21,002078.SZ,太阳纸业
166,2018/10/21,002081.SZ,金螳螂
167,2018/10/21,002085.SZ,万丰奥威
168,2018/10/21,002092.SZ,中泰化学
169,2018/10/21,002093.SZ,国脉科技
170,2018/10/21,002110.SZ,三钢闽光
171,2018/10/21,002118.SZ,紫鑫药业
172,2018/10/21,002127.SZ,南极电商
173,2018/10/21,002128.SZ,露天煤业
174,2018/10/21,002129.SZ,中环股份
175,2018/10/21,002131.SZ,利欧股份
176,2018/10/21,002142.SZ,宁波银行
177,2018/10/21,002146.SZ,荣盛发展
178,2018/10/21,002147.SZ,新光圆成
179,2018/10/21,002152.SZ,广电运通
180,2018/10/21,002153.SZ,石基信息
181,2018/10/21,002155.SZ,湖南黄金
182,2018/10/21,002174.SZ,游族网络
183,2018/10/21,002176.SZ,江特电机
184,2018/10/21,002179.SZ,中航光电
185,2018/10/21,002180.SZ,纳思达
186,2018/10/21,002183.SZ,怡亚通
187,2018/10/21,002190.SZ,成飞集成
188,2018/10/21,002191.SZ,劲嘉股份
189,2018/10/21,002195.SZ,二三四五
190,2018/10/21,002202.SZ,金风科技
191,2018/10/21,002212.SZ,南洋股份
192,2018/10/21,002221.SZ,东华能源
193,2018/10/21,002223.SZ,鱼跃医疗
194,2018/10/21,002230.SZ,科大讯飞
195,2018/10/21,002233.SZ,塔牌集团
196,2018/10/21,002236.SZ,大华股份
197,2018/10/21,002241.SZ,歌尔股份
198,2018/10/21,002242.SZ,九阳股份
199,2018/10/21,002244.SZ,滨江集团
200,2018/10/21,002249.SZ,大洋电机
201,2018/10/21,002250.SZ,联化科技
202,2018/10/21,002251.SZ,步步高
203,2018/10/21,002252.SZ,上海莱士
204,2018/10/21,002254.SZ,泰和新材
205,2018/10/21,002261.SZ,拓维信息
206,2018/10/21,002266.SZ,浙富控股
207,2018/10/21,002268.SZ,卫士通
208,2018/10/21,002273.SZ,水晶光电
209,2018/10/21,002276.SZ,万马股份
210,2018/10/21,002277.SZ,友阿股份
211,2018/10/21,002280.SZ,联络互动
212,2018/10/21,002281.SZ,光迅科技
213,2018/10/21,002285.SZ,世联行
